Company,forwardPE,beta,priceToBook,dividendYield,trailingEps,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,operatingMargins,profitMargins
Apple,32.155922,1.065,42.53719,0.35,8.25,79.548,1.07,0.906,1.4147099,0.26229,0.32275,0.27152002
Microsoft,21.64525,1.093,7.504348,0.87,16.78,30.271,1.283,1.142,0.34013999,0.14814,0.46326,0.39341998
Amazon,27.04031,1.468,6.4809093,,8.42,53.3,1.177,0.974,0.24285,0.06845,0.1314,0.12224
Alphabet,26.500639,1.267,9.692008,0.23,13.1,20.026,1.922,1.707,0.38884997,0.14641,0.36121,0.37919
Meta,16.948385,1.243,6.3560143,0.34,27.52,35.608,2.348,2.11,0.32930002,0.16395001,0.40617,0.32837
Tesla,169.74606,1.793,19.455177,,1.11,18.738,2.043,1.43,0.04901,0.022330001,0.04203,0.03946
NVIDIA,17.027882,2.244,33.27101,0.02,6.52,6.555,3.441,2.764,1.14288,0.52727,0.65596,0.62966
Samsung,5.56304,1.327,,0.51,,5.782,2.539,1.959,0.18855,0.10236,0.42751,0.21459
Tencent,11.142952,0.753,2.9912076,1.21,3.55,33.468,1.425,1.141,0.20515,0.079169996,0.34295,0.30606002
Alibaba,14.135669,0.494,1.9364421,0.81,6.47,25.014,1.282,0.863,0.092159994,0.0212,0.0101499995,0.1012
IBM,18.866283,0.581,7.235413,2.66,11.3,211.169,0.796,0.644,0.35772,0.05369,0.13809,0.15606
Intel,77.83233,2.19,5.4037967,,-0.6,36.028,2.312,1.657,-0.02911,0.0063099996,0.06879,-0.05904
Oracle,23.912825,1.544,16.464941,1.04,5.57,415.265,1.347,1.224,0.57572,0.06335,0.32676,0.25298
Sony,18.605042,0.719,2.5599568,0.72,1.08,19.612,1.182,0.801,0.12367,0.03707,0.07552,-0.02619
Adobe,9.276124,1.417,8.691761,,17.16,58.34,0.912,0.789,0.58774,0.18905,0.38762,0.29477
Netflix,23.055685,1.548,11.990797,,3.1,53.788,1.407,1.178,0.48494998,0.15402001,0.32303002,0.28521
AMD,36.07458,2.399,11.82163,,2.99,6.005,2.725,1.75,0.08063,0.03647,0.14396,0.13374
Qualcomm,22.391518,1.493,9.246059,1.55,9.29,55.979,2.366,1.448,0.36083,0.12692,0.22059,0.22308001
Cisco,25.2524,0.912,9.738758,1.4,3.0,67.541,0.925,0.704,0.25229,0.07337,0.24992001,0.19685
JP Morgan,13.008805,1.023,2.3865275,1.96,20.9,,,,0.16465001,0.01272,0.43741,0.33936
Goldman Sachs,15.243226,1.274,2.7976737,1.81,54.72,678.596,1.5,1.349,0.14548,0.00944,0.38599998,0.29363
Visa,22.145384,0.784,16.416092,0.81,11.48,67.233,1.088,0.669,0.60349,0.19193001,0.67346,0.51679003
Johnson & Johnson,18.437393,0.263,6.9464946,2.29,8.62,67.73,1.025,0.689,0.26416,0.08424,0.27408,0.21834
Pfizer,9.127753,0.305,1.702939,6.64,1.31,71.602,1.247,0.852,0.083100006,0.05687,0.31617,0.118310004
ExxonMobil,14.864995,0.183,2.4959319,2.66,5.93,18.261,1.036,0.744,0.09873,0.04221,0.06355,0.077649996
ASML,34.433018,1.373,26.070383,0.77,25.93,12.989,1.36,0.691,0.52236,0.15664,0.36020002,0.29713
SAP,17.665064,0.709,3.974651,1.65,6.24,17.331,1.069,0.916,0.16350001,0.09082,0.30025998,0.19584
Siemens,21.110462,1.268,3.199981,1.99,9.67,76.352,1.393,0.743,0.12593001,0.03542,0.12725,0.09688
Louis Vuitton,18.423422,0.835,3.4769173,2.75,21.83,53.342,1.584,0.691,0.16236,0.075830005,0.21165001,0.13462
TotalEnergies,9.445231,0.059,1.7308398,4.58,5.8,51.304,1.076,0.507,0.12512,0.04892,0.20353001,0.08201
Shell,9.014115,-0.24,1.391818,3.63,2.39,43.324,1.275,0.824,0.10697,0.049889997,0.14873,0.07014
Baidu,13.996208,0.524,1.0998473,,-0.15,32.2,1.852,1.572,0.00319,0.012519999,0.09955,0.01023
JD,7.043339,0.403,1.3155773,3.28,1.36,38.478,1.18,0.74,0.06004,-0.00278,0.01206,0.0104600005
BYD,16.975445,0.297,3.091887,0.45,0.29,55.07,0.815,0.376,0.11147001,0.023,0.04777,0.035150003
ICBC,5.505075,0.15,0.5378024,5.11,1.16,,,,0.08889,0.0069700005,0.65656,0.55146
Toyota,11.982256,0.327,16.124851,3.03,18.59,105.328,1.274,1.016,0.10233,0.02368,0.04566,0.07592
SoftBank,22.88259,0.901,2.2094471,0.16,872.33,125.381,0.797,0.584,0.32724,0.00013,-0.20402001,0.64142996
Nintendo,5.3177567,0.158,2.8251429,1.88,0.57,,3.959,3.11,0.14931,0.06249,0.14668,0.18333
Hyundai,13.178889,1.538,,1.53,,139.511,1.31,1.027,0.0754,0.01778,0.05474,0.04592
Reliance Industries,18.84537,0.244,2.0277097,0.41,59.73,36.653,1.098,0.558,0.09139,0.03672,0.099750005,0.0764
Tata Consultancy Services,14.007662,0.289,7.3863587,5.35,136.03,10.389,2.228,1.974,0.48395002,0.24436001,0.25288,0.18429
