Company,forwardPE,beta,priceToBook,dividendYield,trailingEps,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,operatingMargins,profitMargins
Apple,31.505138,1.065,41.676308,0.36,8.25,79.548,1.07,0.906,1.4147099,0.26229,0.32275,0.27152002
Microsoft,21.649385,1.093,7.5057817,0.86,16.8,30.271,1.283,1.142,0.34013999,0.14814,0.46326,0.39341998
Amazon,26.804379,1.468,6.4064445,,8.37,53.3,1.177,0.974,0.24285,0.06845,0.1314,0.12224
Alphabet,26.65495,1.267,9.748444,0.23,13.11,20.026,1.922,1.707,0.38884997,0.14641,0.36121,0.37919
Meta,16.474417,1.243,6.204887,0.35,27.53,35.608,2.348,2.11,0.32930002,0.16395001,0.40617,0.32837
Tesla,166.79308,1.793,19.116724,,1.08,18.738,2.043,1.43,0.04901,0.022330001,0.04203,0.03946
NVIDIA,19.172733,2.244,34.504017,0.02,6.53,7.255,3.905,3.141,1.01485,0.51188,0.65024,0.55603004
Samsung,5.692982,1.327,,0.54,,5.782,2.539,1.959,0.18855,0.10236,0.42751,0.21459
Tencent,11.1578045,0.753,2.9901407,1.15,3.55,33.468,1.425,1.141,0.20515,0.079169996,0.34295,0.30606002
Alibaba,14.088764,0.494,1.9256209,0.78,6.47,25.232,1.282,0.665,0.092159994,0.020079998,-0.00348,0.1012
IBM,17.671154,0.581,6.7770686,3.0,11.3,211.169,0.796,0.644,0.35772,0.05369,0.13809,0.15606
Intel,76.08851,2.19,5.1195154,,-0.59,36.028,2.312,1.657,-0.02911,0.0063099996,0.06879,-0.05904
Oracle,23.566732,1.544,16.22664,1.06,5.57,415.265,1.347,1.224,0.57572,0.06335,0.32676,0.25298
Sony,18.689075,0.719,2.5448296,0.7,1.08,19.612,1.182,0.801,0.12367,0.03707,0.07552,-0.02619
Adobe,9.261343,1.417,8.677912,,17.15,58.34,0.912,0.789,0.58774,0.18905,0.38762,0.29477
Netflix,22.85271,1.548,11.885235,,3.1,53.788,1.407,1.178,0.48494998,0.15402001,0.32303002,0.28521
AMD,34.06988,2.399,11.16469,,3.0,6.005,2.725,1.75,0.08063,0.03647,0.14396,0.13374
Qualcomm,19.645435,1.493,8.112128,1.82,9.3,55.979,2.366,1.448,0.36083,0.12692,0.22059,0.22308001
Cisco,24.237352,0.912,9.347299,1.47,3.0,67.541,0.925,0.704,0.25229,0.07337,0.24992001,0.19685
JP Morgan,12.870629,1.023,2.359498,1.99,20.9,,,,0.16465001,0.01272,0.43741,0.33936
Goldman Sachs,15.253625,1.274,2.7995822,1.83,54.7,678.596,1.5,1.349,0.14548,0.00944,0.38599998,0.29363
Visa,22.21878,0.784,16.470499,0.81,11.48,67.233,1.088,0.669,0.60349,0.19193001,0.67346,0.51679003
Johnson & Johnson,18.076262,0.263,6.8104343,2.34,8.62,67.73,1.025,0.689,0.26416,0.08424,0.27408,0.21834
Pfizer,9.09163,0.305,1.6961997,6.67,1.31,71.602,1.247,0.852,0.083100006,0.05687,0.31617,0.118310004
ExxonMobil,15.071294,0.183,2.530571,2.64,5.94,18.261,1.036,0.744,0.09873,0.04221,0.06355,0.077649996
ASML,32.849438,1.373,24.871405,0.81,25.86,12.989,1.36,0.691,0.52236,0.15664,0.36020002,0.29713
SAP,17.47525,0.709,3.9212298,1.63,6.24,17.331,1.069,0.916,0.16350001,0.09082,0.30025998,0.19584
Siemens,20.803944,1.268,3.1535182,2.03,9.67,76.352,1.393,0.743,0.12593001,0.03542,0.12725,0.09688
Louis Vuitton (LVMH),18.329863,0.835,3.4592607,2.74,21.84,53.342,1.584,0.691,0.16236,0.075830005,0.21165001,0.13462
TotalEnergies,9.724606,0.059,1.7818958,4.52,5.8,51.304,1.076,0.507,0.12512,0.04892,0.20353001,0.08201
Shell,9.158747,-0.24,1.4176569,3.54,2.4,43.324,1.275,0.824,0.10697,0.049889997,0.14873,0.07014
Baidu,14.293966,0.524,1.1232456,,1.73,32.2,1.852,1.572,0.00319,0.012519999,0.09955,0.01023
JD.com,7.261514,0.403,1.3563288,3.08,1.36,38.478,1.18,0.74,0.06004,-0.00278,0.01206,0.0104600005
BYD,16.81447,0.297,3.0609844,0.46,0.29,55.07,0.815,0.376,0.11147001,0.023,0.04777,0.035150003
ICBC,5.4748154,0.15,0.53484625,5.09,1.16,,,,0.08889,0.0069700005,0.65656,0.55146
Toyota,11.88213,0.327,15.990108,3.02,18.58,105.328,1.274,1.016,0.10233,0.02368,0.04566,0.07592
SoftBank,20.451082,0.901,1.974671,0.22,872.25,125.381,0.797,0.584,0.32724,0.00013,-0.20402001,0.64142996
Nintendo,5.3130836,0.158,2.8199694,1.8,0.57,,3.959,3.11,0.14931,0.06249,0.14668,0.18333
Hyundai,13.410527,1.538,,1.69,,138.597,,,0.0754,0.01778,0.05475,0.04592
Reliance Industries,18.777195,0.244,2.0203743,0.4,59.69,36.653,1.098,0.558,0.09139,0.03672,0.099750005,0.0764
Tata Consultancy Services,14.05856,0.289,7.4179144,5.33,135.92,10.389,2.228,1.974,0.48395002,0.24436001,0.25288,0.18429
