company,symbol,classification,predicted_price,predicted_return,today_news_titles,today_news_count,sentiment_score,similar_companies,final_score,recommendation
Apple,AAPL,Sell,303.93,-1.58,[],0,-0.667,['NVIDIA'],-0.6222,SELL
Microsoft,MSFT,Sell,418.7,0.03,[],0,0.4,"['Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",-0.2989,SELL
Amazon,AMZN,Hold,265.2,-0.42,[],0,0.333,"['Microsoft', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",0.0685,HOLD
Alphabet,GOOGL,Sell,381.71,-0.33,[],0,0.25,"['Microsoft', 'Amazon', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",-0.3491,SELL
Meta,META,Buy,609.86,-0.07,[],0,-0.333,"['Microsoft', 'Amazon', 'Alphabet', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",0.3145,BUY
Tesla,TSLA,Sell,424.47,-0.36,[],0,-0.333,['Intel'],-0.4959,SELL
NVIDIA,NVDA,Sell,214.97,-0.17,[],0,-0.25,['Apple'],-0.4684,SELL
Samsung,005930.KS,Sell,286597.53,-2.02,[],0,0.667,[],-0.3039,SELL
Tencent,TCEHY,Hold,57.41,2.4,[],0,-0.333,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",0.0006,HOLD
Alibaba,BABA,Sell,131.02,0.78,[],0,-0.5,"['IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.4975,SELL
IBM,IBM,Sell,250.78,-1.2,[],0,-1.0,"['Alibaba', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.6922,SELL
Intel,INTC,Buy,118.89,-0.79,[],0,-0.25,['Tesla'],0.3098,BUY
Oracle,ORCL,Sell,190.33,-0.91,[],0,0.333,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",-0.3486,SELL
Sony,SONY,Sell,22.17,0.14,[],0,-0.667,"['Alibaba', 'IBM', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.5618,SELL
Adobe,ADBE,Sell,245.45,0.28,[],0,1.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",-0.1401,HOLD
Netflix,NFLX,Hold,88.06,-0.61,[],0,-0.333,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",-0.1045,HOLD
AMD,AMD,Buy,453.36,-3.03,[],0,1.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",0.5441,BUY
