Entreprise,Cluster,Modèle,MAE,RMSE,MAPE
Apple,-1,XGBoost,10.2,14.54,3.81
Apple,-1,Random Forest,15.42,20.5,5.76
Apple,-1,KNN,24.87,29.91,9.54
Apple,-1,Ridge,2.67,3.67,1.08
Microsoft,0,XGBoost,32.26,40.8,6.49
Microsoft,0,Random Forest,33.01,41.38,6.66
Microsoft,0,KNN,51.39,60.65,10.48
Microsoft,0,Ridge,4.82,6.89,1.06
Amazon,1,XGBoost,6.27,10.41,2.59
Amazon,1,Random Forest,7.21,11.93,2.98
Amazon,1,KNN,10.41,14.25,4.45
Amazon,1,Ridge,3.17,4.29,1.4
Alphabet,0,XGBoost,79.36,98.84,25.52
Alphabet,0,Random Forest,75.56,94.51,24.27
Alphabet,0,KNN,82.49,101.9,26.65
Alphabet,0,Ridge,3.87,5.64,1.41
Meta,0,XGBoost,18.46,26.29,2.61
Meta,0,Random Forest,21.43,30.14,3.03
Meta,0,KNN,59.44,73.79,8.45
Meta,0,Ridge,10.13,14.82,1.51
Tesla,-1,XGBoost,11.51,15.46,2.89
Tesla,-1,Random Forest,14.35,19.26,3.52
Tesla,-1,KNN,33.43,41.19,8.48
Tesla,-1,Ridge,9.39,11.94,2.41
NVIDIA,-1,XGBoost,38.12,41.86,20.39
NVIDIA,-1,Random Forest,42.53,46.44,22.79
NVIDIA,-1,KNN,41.22,44.83,22.12
NVIDIA,-1,Ridge,3.08,3.99,1.7
Tencent,2,XGBoost,7.63,10.03,9.82
Tencent,2,Random Forest,8.75,11.26,11.3
Tencent,2,KNN,10.63,12.84,13.92
Tencent,2,Ridge,0.97,1.35,1.35
Alibaba,3,XGBoost,3.95,5.48,2.65
Alibaba,3,Random Forest,3.99,5.44,2.7
Alibaba,3,KNN,10.43,13.4,6.87
Alibaba,3,Ridge,2.93,4.06,2.02
IBM,-1,XGBoost,21.91,29.22,7.63
IBM,-1,Random Forest,25.06,32.95,8.73
IBM,-1,KNN,28.69,36.35,10.08
IBM,-1,Ridge,3.91,5.71,1.47
Intel,-1,XGBoost,5.63,15.75,7.36
Intel,-1,Random Forest,5.66,15.6,7.55
Intel,-1,KNN,7.24,16.13,11.89
Intel,-1,Ridge,1.42,2.55,3.1
Oracle,4,XGBoost,35.3,51.05,14.22
Oracle,4,Random Forest,35.73,51.64,14.39
Oracle,4,KNN,47.11,62.32,19.81
Oracle,4,Ridge,5.49,8.91,2.6
Sony,3,XGBoost,1.63,2.28,5.9
Sony,3,Random Forest,1.56,2.19,5.67
Sony,3,KNN,2.22,2.85,8.17
Sony,3,Ridge,0.37,0.48,1.45
Adobe,-1,XGBoost,15.4,23.32,5.77
Adobe,-1,Random Forest,20.02,31.33,7.57
Adobe,-1,KNN,30.9,40.43,11.08
Adobe,-1,Ridge,4.65,6.35,1.5
Netflix,4,XGBoost,4.16,5.38,3.83
Netflix,4,Random Forest,4.36,5.68,3.88
Netflix,4,KNN,5.28,6.73,5.24
Netflix,4,Ridge,1.53,2.24,1.45
AMD,-1,XGBoost,30.05,59.59,10.49
AMD,-1,Random Forest,31.99,61.9,11.27
AMD,-1,KNN,46.91,74.14,17.95
AMD,-1,Ridge,6.14,10.13,2.76
Qualcomm,-1,XGBoost,3.32,5.3,2.02
Qualcomm,-1,Random Forest,3.53,5.53,2.17
Qualcomm,-1,KNN,8.22,13.3,4.92
Qualcomm,-1,Ridge,2.72,4.57,1.66
Cisco,-1,XGBoost,12.99,16.18,16.29
Cisco,-1,Random Forest,13.82,16.91,17.41
Cisco,-1,KNN,15.3,18.16,19.43
Cisco,-1,Ridge,0.95,1.59,1.22
JP Morgan,2,XGBoost,34.89,37.97,11.49
JP Morgan,2,Random Forest,40.77,43.84,13.45
JP Morgan,2,KNN,48.76,51.96,16.11
JP Morgan,2,Ridge,3.06,4.08,1.02
Goldman Sachs,2,XGBoost,181.6,206.85,21.36
Goldman Sachs,2,Random Forest,176.51,202.02,20.73
Goldman Sachs,2,KNN,210.06,235.99,24.81
Goldman Sachs,2,Ridge,10.63,14.44,1.3
Visa,-1,XGBoost,4.37,5.85,1.31
Visa,-1,Random Forest,5.18,6.78,1.56
Visa,-1,KNN,10.63,13.46,3.17
Visa,-1,Ridge,3.32,4.74,1.0
Johnson & Johnson,-1,XGBoost,37.79,47.74,17.23
Johnson & Johnson,-1,Random Forest,37.95,47.9,17.31
Johnson & Johnson,-1,KNN,38.86,48.39,17.82
Johnson & Johnson,-1,Ridge,2.52,3.23,1.21
Pfizer,3,XGBoost,0.3,0.39,1.2
Pfizer,3,Random Forest,0.32,0.44,1.31
Pfizer,3,KNN,0.61,0.79,2.43
Pfizer,3,Ridge,0.28,0.38,1.15
ExxonMobil,3,XGBoost,13.28,21.49,9.01
ExxonMobil,3,Random Forest,13.16,21.33,8.92
ExxonMobil,3,KNN,14.5,22.13,10.03
ExxonMobil,3,Ridge,1.53,2.06,1.2
ASML,-1,XGBoost,107.39,169.13,9.29
ASML,-1,Random Forest,115.44,183.81,9.94
ASML,-1,KNN,127.51,191.37,11.37
ASML,-1,Ridge,17.96,25.09,1.89
SAP,2,XGBoost,6.72,8.84,3.62
SAP,2,Random Forest,7.75,10.22,4.18
SAP,2,KNN,11.97,14.94,6.27
SAP,2,Ridge,3.12,4.37,1.59
Siemens,1,XGBoost,13.8,18.69,5.72
Siemens,1,Random Forest,13.61,17.73,5.64
Siemens,1,KNN,19.34,22.43,8.17
Siemens,1,Ridge,3.18,4.59,1.38
Louis Vuitton (LVMH),2,XGBoost,15.47,20.08,3.22
Louis Vuitton (LVMH),2,Random Forest,20.78,26.56,4.36
Louis Vuitton (LVMH),2,KNN,29.92,35.37,6.21
Louis Vuitton (LVMH),2,Ridge,7.24,10.12,1.41
TotalEnergies,3,XGBoost,3.84,7.31,5.31
TotalEnergies,3,Random Forest,3.9,7.52,5.37
TotalEnergies,3,KNN,4.57,7.81,6.59
TotalEnergies,3,Ridge,0.64,0.9,1.05
Shell,3,XGBoost,119.26,219.52,3.71
Shell,3,Random Forest,120.37,222.34,3.75
Shell,3,KNN,150.87,251.47,4.79
Shell,3,Ridge,29.67,41.57,1.02
Baidu,3,XGBoost,2.92,4.16,2.43
Baidu,3,Random Forest,2.98,4.18,2.48
Baidu,3,KNN,6.99,9.64,5.69
Baidu,3,Ridge,2.69,3.91,2.24
JD.com,3,XGBoost,0.49,0.65,1.63
JD.com,3,Random Forest,0.52,0.67,1.71
JD.com,3,KNN,1.54,1.9,5.13
JD.com,3,Ridge,0.47,0.63,1.56
BYD,3,XGBoost,0.33,0.47,2.34
BYD,3,Random Forest,0.41,0.58,2.87
