,forwardPE,beta,priceToBook,dividendYield,trailingEps,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,operatingMargins,profitMargins
Apple,30.682877,1.065,40.402203,0.37,8.27,79.548,1.07,0.906,1.4147099,0.26229,0.32275,0.27152002
Microsoft,21.448198,1.093,7.442494,0.88,16.77,30.271,1.283,1.142,0.34013999,0.14814,0.46326,0.39341998
Amazon,27.625109,1.468,6.63568,,8.37,53.3,1.177,0.974,0.24285,0.06845,0.1314,0.12224
Alphabet,27.709045,1.267,11.667103,0.22,13.11,20.026,1.922,1.707,0.38884997,0.14641,0.36121,0.37919
Meta,16.847143,1.243,7.099701,0.34,27.49,35.608,2.348,2.11,0.32930002,0.16395001,0.40617,0.32837
Tesla,168.95036,1.793,19.562042,,1.07,18.738,2.043,1.43,0.04901,0.022330001,0.04203,0.03946
NVIDIA,19.068007,2.244,33.250927,0.02,4.91,7.255,3.905,3.141,1.01485,0.51188,0.65024,0.55603004
Samsung,5.3020573,1.327,,0.55,,5.782,9.273,7.397,0.18854,0.10231,0.42718,0.21462
Tencent,11.841613,0.753,3.1912615,1.13,3.55,32.746,1.443,1.242,0.20027,0.08038,0.33134997,0.29909
Alibaba,19.004911,0.494,2.1357632,0.75,5.69,25.908,1.331,0.735,0.082329996,0.03134,0.07078,0.08912
IBM,17.077778,0.581,6.549041,2.94,11.3,211.169,0.796,0.644,0.35772,0.05369,0.13809,0.15606
Intel,81.60652,2.19,5.4588356,,-0.6,36.028,2.312,1.657,-0.02911,0.0063099996,0.06879,-0.05904
Oracle,24.394617,1.544,16.796673,1.02,5.56,415.265,1.347,1.224,0.57572,0.06335,0.32676,0.25298
Sony,16.932772,0.719,2.315947,0.75,1.1,19.612,1.182,0.801,0.12367,0.03707,0.07552,-0.02619
Adobe,9.589821,1.417,8.985795,,17.16,58.34,0.912,0.789,0.58774,0.18905,0.38762,0.29477
Netflix,22.776321,1.548,13.8784895,,3.1,53.788,1.407,1.178,0.48494998,0.15402001,0.32303002,0.28521
AMD,35.279404,2.399,11.777231,,3.0,6.005,2.725,1.75,0.08063,0.03647,0.14396,0.13374
Qualcomm,20.599974,1.493,8.505707,1.68,9.29,55.979,2.366,1.448,0.36083,0.12692,0.22059,0.22308001
Cisco,21.404253,0.912,7.9908977,1.74,2.78,66.509,0.955,0.737,0.23754999,0.06994,0.24868,0.18756
JP Morgan,12.836212,1.023,2.3531888,1.99,20.88,,,,0.16465001,0.01272,0.43741,0.33936
Goldman Sachs,14.321808,1.274,2.6285608,1.92,54.78,678.596,1.5,1.349,0.14548,0.00944,0.38599998,0.29363
Visa,21.49096,0.784,15.912449,0.84,11.48,67.233,1.088,0.669,0.60349,0.19193001,0.67346,0.51679003
Johnson & Johnson,17.412458,0.263,6.5605454,2.42,8.63,67.73,1.025,0.689,0.26416,0.08424,0.27408,0.21834
Pfizer,9.007872,0.305,1.6884739,6.7,1.31,71.602,1.247,0.852,0.083100006,0.05687,0.31617,0.118310004
ExxonMobil,14.150599,0.183,2.3291821,2.85,5.94,18.261,1.036,0.744,0.09873,0.04221,0.06355,0.077649996
ASML,32.30366,1.373,24.412537,0.82,25.86,12.989,1.36,0.691,0.52236,0.15664,0.36020002,0.29713
SAP,17.097315,0.709,3.828528,1.71,6.24,17.331,1.069,0.916,0.16350001,0.09082,0.30025998,0.19584
Siemens,20.979527,1.268,3.1564965,2.02,10.04,78.402,1.376,0.852,0.1279,0.03629,0.13031,0.09969
Louis Vuitton (LVMH),18.218504,0.835,3.477653,2.75,21.84,53.342,1.584,0.691,0.16236,0.075830005,0.21165001,0.13462
TotalEnergies,9.243989,0.059,1.6681204,4.75,5.75,51.304,1.076,0.507,0.12512,0.04892,0.20353001,0.08201
Shell,8.951526,,1.3475232,3.71,2.37,43.324,1.275,0.824,0.10697,0.04962,0.15402001,0.07026
Baidu,15.433704,0.524,1.2255378,,1.72,33.506,1.76,1.53,0.01904,0.014780001,0.045300003,0.0433
JD.com,7.1732736,0.403,1.2485589,3.32,1.9,36.457,1.223,0.793,0.07624,0.00331,-0.0128999995,0.015
BYD,18.71689,0.297,3.4128103,1.44,0.29,55.07,0.815,0.376,0.11147001,0.023,0.04777,0.035150003
ICBC,5.579054,0.15,0.5432239,5.05,1.16,,,,0.08889,0.0069700005,0.65656,0.55146
Toyota,11.88403,0.327,15.992666,3.06,18.87,105.328,1.274,1.016,0.10233,0.02368,0.04566,0.07592
SoftBank,20.76264,0.901,2.2620995,0.18,534.62,132.434,0.832,0.581,0.26023,0.00695,0.03838,0.48167
Nintendo,4.8831773,,2.5597749,2.05,0.58,,3.959,3.11,0.14931,0.06249,0.14668,0.18333
Hyundai,,,,,,,,,,,,
Reliance Industries,19.968178,0.244,2.148519,0.38,59.7,36.653,1.098,0.558,0.09139,0.03672,0.099750005,0.0764
Tata Consultancy Services,14.4540415,0.289,7.632113,5.18,136.0,10.389,2.228,1.899,0.48395002,0.24429001,0.25277,0.18429
